review,rating,date,bank,source
Very unprofessional and mischievous bank in my opinion. I have had several occasions but recently I used Abyssinia Card to withdraw money and it was deducted from my account but despite reporting several times they said they are processing it but I learned yesterday that since it has been 3 months the bank has decided to include it in their income. How absurd. If you can avoid this bank.,1,2024-12-06,Bank of Abyssinia,Google Play
It doesn't work on my 2 devices A05 and A34 😡,1,2024-12-02,Bank of Abyssinia,Google Play
It's better to say I don't use boa rather than pulling your phone out and opening this app,1,2024-12-01,Bank of Abyssinia,Google Play
My attention is very important because it will be the most difficult time for me,5,2024-11-30,Bank of Abyssinia,Google Play
"I have a worst experience while using this mobile application through out the year. Most of the time it fails to ""Login"" or automatically closed the app. And also it takes so much loading time (5 minutes +) trying to access the internal services. Sometimes also while transferring within and to other bank also fails. So, BOA please fix your app.",1,2024-11-29,Bank of Abyssinia,Google Play
I don't know why but your apps start out great then all of a sudden don't work🤷‍♀️,1,2024-11-28,Bank of Abyssinia,Google Play
This application is losing major factions on a daily basis. I can count how many times I have used this app; it is completely useless and disappointing if I am not going to use it in times of need then I don't see the point.,1,2024-11-28,Bank of Abyssinia,Google Play
exellent digital transaction of money,5,2024-11-27,Bank of Abyssinia,Google Play
The latest update has stopped android 9 phones not to open this App. Never work properly since i started using it.,1,2024-11-26,Bank of Abyssinia,Google Play
Great,5,2024-11-25,Bank of Abyssinia,Google Play
Money,5,2024-11-24,Bank of Abyssinia,Google Play
It needs more improvment,2,2024-11-24,Bank of Abyssinia,Google Play
Hey Google,5,2024-11-21,Bank of Abyssinia,Google Play
ab,3,2024-11-20,Bank of Abyssinia,Google Play
Ademtahir,5,2024-11-20,Bank of Abyssinia,Google Play
Please this app on my android phone,3,2024-11-20,Bank of Abyssinia,Google Play
GOAT 🐐 🐐,5,2024-11-19,Bank of Abyssinia,Google Play
"Your app doesn't match your bank, the app is disaster, super slow. Please learn something from tele birr app.",1,2024-11-19,Bank of Abyssinia,Google Play
Fast and reliable,5,2024-11-18,Bank of Abyssinia,Google Play
"The worst app update ever. Why would you include the ""developer option off"" thing here? Why do you care? It is my phone my money, right? That is the reason why I switched to other banks. So either turn it off or everyone will discontinue their business one by one.",1,2024-11-17,Bank of Abyssinia,Google Play
Very good,5,2024-11-14,Bank of Abyssinia,Google Play
One of the poorest mobile banking system,1,2024-11-13,Bank of Abyssinia,Google Play
Oene,5,2024-11-12,Bank of Abyssinia,Google Play
i find it interesting specially in reciept downloading,1,2024-11-12,Bank of Abyssinia,Google Play
it good,5,2024-11-12,Bank of Abyssinia,Google Play
"This app crashes everytime, please fix it",1,2024-11-12,Bank of Abyssinia,Google Play
አንድ star ራሱ ይበዛበታል። i dont recomend to use this app also the bank,1,2024-11-12,Bank of Abyssinia,Google Play
I need a support the app is not working,5,2024-11-12,Bank of Abyssinia,Google Play
nice application,4,2025-05-27,Dashen Bank,Google Play
bast smart bank sistem dashen amole dashen bamk,5,2025-05-17,Dashen Bank,Google Play
ለአጠቃቀም እጅግ ቀላልና ድህንነቱ የተጠበቀ ነው።,5,2025-05-16,Dashen Bank,Google Play
"Worst app possible, I don't think it gets worse than this. Least user friendly process to exchange your own money, far too many hurdles you have to get past to make a simple money transfer. Even after getting past all the hurdles you are restricted with a min and I believe a max amount of your own money you have access to, not to mention time restrictions; I wasn't able to access my money past midnight multiple times. You can't change tab to another app, having opened this without it crashing.",1,2025-05-15,Dashen Bank,Google Play
I'm a Dashen Bank customer as I know its function and duty. Thanks.,5,2025-05-15,Dashen Bank,Google Play
i love it,4,2025-05-15,Dashen Bank,Google Play
Amole is the digital mobile application what i prefer.,5,2025-05-15,Dashen Bank,Google Play
best mobile banking app👍,5,2025-05-10,Dashen Bank,Google Play
Complicated and fake app,1,2025-04-29,Dashen Bank,Google Play
Its Good updation from Previous,3,2025-04-25,Dashen Bank,Google Play
yarid dima,5,2025-04-17,Dashen Bank,Google Play
"Requires updates too frequently, often has server related issues, the fingerprint always requires updating, it's the most unreliable app I've used and always fails when you want to make urgent payments.",2,2025-04-10,Dashen Bank,Google Play
dashin,3,2025-04-08,Dashen Bank,Google Play
disappointed because of option to transfer cash on telebirr is limited for self only.... those and other similar given choices by the bank used us to choose this bank over others! no doubt I will be not preferring this bank with no unique incentives.,1,2025-03-29,Dashen Bank,Google Play
everything is perfect,5,2025-03-29,Dashen Bank,Google Play
Dashin Bank#1,5,2025-03-20,Dashen Bank,Google Play
Not working,1,2025-03-19,Dashen Bank,Google Play
Both Amole & Dashen superApp are by far the worst mobile banking apps i have ever came across. if only there is 0 star option,1,2025-03-18,Dashen Bank,Google Play
"funny app, so much gymnastics just to be an app for sending and receiving money.",3,2025-03-18,Dashen Bank,Google Play
I use this app so many times so i like it,5,2025-03-17,Dashen Bank,Google Play
Why did u change the option to transfer to other tellebirr account,1,2025-03-17,Dashen Bank,Google Play
It's nice and simple to use app.,5,2025-03-17,Dashen Bank,Google Play
Just 👍,5,2025-03-15,Dashen Bank,Google Play
Not god its,5,2025-03-14,Dashen Bank,Google Play
Regarding Internet banking i really choice a Dashen Bank and I have one recommendation for app developer shall considere the low android level means 4-6 android to adress all types of android users because now a days the current updated app can't support such android.Thanks!!!,5,2025-03-08,Dashen Bank,Google Play
It doesn't work,1,2025-03-02,Dashen Bank,Google Play
ምርጥ,5,2025-02-28,Dashen Bank,Google Play
Please the update is refused to be download on my phone tecno f1. Please solve this issue ASAP,1,2025-02-26,Dashen Bank,Google Play
Excellent app,5,2025-02-24,Dashen Bank,Google Play
"Very poor service, always not responding when ever we need to transfer I rate it 0 !",1,2025-02-23,Dashen Bank,Google Play
The recent update is broken. It diesn't allow to take screen shots (which by it self is not a problem) and the share button of a transaction doesn't work nor it will download the transaction receipt. I know security is especially important for banking systems but such a huge limitations on functionality will not serve the app any good. I guess the super app is the way to go.,2,2025-02-21,Dashen Bank,Google Play
It is good but have so much problem ...even it say not compateble to your phone...it not easy for work ..,1,2025-02-20,Dashen Bank,Google Play
Dashen bank ATM,5,2025-02-20,Dashen Bank,Google Play
Good Banking App,5,2025-02-17,Dashen Bank,Google Play
stay hamble,5,2025-02-14,Dashen Bank,Google Play
ይሄ አሪፍ,2,2025-02-12,Dashen Bank,Google Play
good app i like it but still i am confused because i cannot use prperly so Please check the app,3,2025-02-12,Dashen Bank,Google Play
Very slow and it seems it needs update everytime,1,2025-02-12,Dashen Bank,Google Play
Open app amole dashin,5,2025-02-10,Dashen Bank,Google Play
Akiliua,5,2025-02-10,Dashen Bank,Google Play
Perfiekt,5,2025-02-10,Dashen Bank,Google Play
Help,5,2025-02-08,Dashen Bank,Google Play
A very fast mobile banking app,5,2025-02-07,Dashen Bank,Google Play
Good job,5,2025-02-07,Dashen Bank,Google Play
It's nice and easy to use,5,2025-02-07,Dashen Bank,Google Play
Nice app,5,2025-02-07,Dashen Bank,Google Play
Good app i used it always,5,2025-02-07,Dashen Bank,Google Play
It is very very slow pls update,2,2025-02-06,Dashen Bank,Google Play
Very slow and it seems that every update something else is not working. The latest update doesn't allow me to use biometrics anymore and maximum daily transfer to Telebirr is 5k?!,1,2025-02-04,Dashen Bank,Google Play
Good app Amole Wonderful,5,2025-02-01,Dashen Bank,Google Play
This app needs many modifications. It takes long time to log in to the account. It is not as fast as CBE. please Update it🙏🙏🙏,1,2025-02-01,Dashen Bank,Google Play
"The app is cool, but unlike other banks they don't provide a receipt for mobile banking transactions, which makes it useless for payments that require receipt",2,2025-01-31,Dashen Bank,Google Play
I am glad to customer with you .I have plan to use dube ale and amole.,5,2025-01-27,Dashen Bank,Google Play
WOW that's awesome,5,2025-01-27,Dashen Bank,Google Play
I cant choose select an account,1,2025-01-26,Dashen Bank,Google Play
Good👍,5,2025-01-22,Dashen Bank,Google Play
we needs modification at all !,1,2025-01-14,Dashen Bank,Google Play
It was good at first but now the system is very bad.please try to fix it.,1,2025-01-14,Dashen Bank,Google Play
Generic error how tofix,4,2025-01-06,Dashen Bank,Google Play
Fast and suitable to learn.,5,2025-01-04,Dashen Bank,Google Play
"The app is extremely slow, often stuck on the logo. Security is poor, requiring only username/password. This allows unauthorized transactions. A large company like yours needs stronger security, such as two-factor authentication. The app's speed lags significantly compared to others. Numerous updates are needed to improve performance and security. Currently, it's a frustrating and time-wasting experience.",1,2025-01-03,Dashen Bank,Google Play
Sometimes it's soo slow,3,2025-01-01,Dashen Bank,Google Play
the best app I used always,1,2024-12-31,Dashen Bank,Google Play
Amole apk is ..... it's very good apk . please used amole Apk,5,2024-12-29,Dashen Bank,Google Play
fast and secure app,5,2024-12-23,Dashen Bank,Google Play
Ok,4,2024-12-18,Dashen Bank,Google Play
I am new for this App let me to use and i will rate 5 star while i get Satisfie,3,2024-12-17,Dashen Bank,Google Play
Yeb,5,2024-12-12,Dashen Bank,Google Play
Good Ait service!,5,2024-12-09,Dashen Bank,Google Play
Sisay mustefa abani,5,2024-12-09,Dashen Bank,Google Play
"It can't load, even in a fast network connection. This app is so bad that it needs fixing",1,2024-12-05,Dashen Bank,Google Play
The best mobile banking in Ethiopia 👍👍,5,2024-12-03,Dashen Bank,Google Play
Thnk you,5,2024-12-02,Dashen Bank,Google Play
I like this app b/c it has many options and easily useable,5,2024-11-29,Dashen Bank,Google Play
Its nice but it does not have speed it requires a lot of patience it will not be for a problem,3,2024-11-28,Dashen Bank,Google Play
It is better if he blinks (ከንግድ ባንክ666).,5,2024-11-28,Dashen Bank,Google Play
Naysssss,5,2024-11-27,Dashen Bank,Google Play
It's good,3,2024-11-21,Dashen Bank,Google Play
Big love,5,2024-11-20,Dashen Bank,Google Play
Excellent,5,2024-11-16,Dashen Bank,Google Play
Please decrease app size,4,2024-11-09,Dashen Bank,Google Play
It's great,5,2024-11-08,Dashen Bank,Google Play
Alem Zeleqe,3,2024-11-08,Dashen Bank,Google Play
Great Financial App,5,2024-10-28,Dashen Bank,Google Play
Deshan bank,5,2024-10-27,Dashen Bank,Google Play
"Still in love with it but while the app start to open, it takes time pls upgrade & fix the bug.",5,2024-10-22,Dashen Bank,Google Play
It's such an amazing app. Truly Dashen bank is always one step ahead of other banks in 🇪🇹 👍,5,2024-10-16,Dashen Bank,Google Play
Best App for all users.,5,2024-10-02,Dashen Bank,Google Play
I ilke very much,5,2024-09-25,Dashen Bank,Google Play
"The app suffers from severe performance issues, particularly with response times. The backend seems to have high latency, as the OTP generation and delivery process consistently delays, even after the server acknowledges that it has been sent. API requests frequently fail, returning non-descriptive error messages that lack proper exception handling, making it difficult for users to understand the issue. I know you will gonne say""ehe yedekem hzb teche alteche"", but that it.",1,2024-09-12,Dashen Bank,Google Play
"The security, cool, every time OTP!! The UI, let's not talk about the UI, But how the heck it says ""offline mode is not available"" something like that, when I enter more than the max amount to transfer. Fellas i am a web dev, this is bad UX. It needs update on the UX. Will see the UI later.",3,2024-09-10,Dashen Bank,Google Play
Select from Sending account option not working when trying to send to other banks,2,2024-09-08,Dashen Bank,Google Play
It's not working,1,2024-09-08,Dashen Bank,Google Play
nice App,5,2024-09-07,Dashen Bank,Google Play
የአንደኛ ቀዳሚ ምርጫችን ዳሽን ባንክ ሁልጊዜ አንድ እርምጃ ቀዳሚ። የአሞሌ አስጠቃሚ።,5,2024-09-03,Dashen Bank,Google Play
በጠም ውደድኩት ስህተት ከለው በጠም መዝገቱ ደስ ብሎኛል,5,2024-08-24,Dashen Bank,Google Play
"Although the application is good, but, it is difficult to get out. The app does not work to get out with the back cursor . Fix it quickly.",1,2024-08-22,Dashen Bank,Google Play
Go,3,2024-08-21,Dashen Bank,Google Play
"I like thise app it is smart app,but when i make one mistake it will automatically block",5,2024-08-15,Dashen Bank,Google Play
Suaud,5,2024-08-05,Dashen Bank,Google Play
wenderfull,5,2024-08-03,Dashen Bank,Google Play
Nice app in Ethiopia,5,2024-08-01,Dashen Bank,Google Play
simply the best,5,2024-07-26,Dashen Bank,Google Play
Very nice mob app,3,2024-07-26,Dashen Bank,Google Play
"I hate this app stack and blackscreen not open as required ,normaly i resigned my job do to this app b/c our salary are depoite by dashen bank",1,2024-06-28,Dashen Bank,Google Play
Wow Very Nice App,5,2024-06-22,Dashen Bank,Google Play
Telebirr agent deposit is not working until now. Please fix it. Fix it fast.,5,2024-06-19,Dashen Bank,Google Play
The developers have incorporated biometric login which has made the app very convenient and user friendly. I will now increase my rating as promised,5,2024-06-15,Dashen Bank,Google Play
Memekaye miliyoon girmaa,3,2024-06-14,Dashen Bank,Google Play
This app is 🤩,5,2024-06-12,Dashen Bank,Google Play
Be adjusted this app is not available anytime,5,2024-06-11,Dashen Bank,Google Play
Super app,5,2024-06-10,Dashen Bank,Google Play
"Very poor app! It locked my out without any reason, does not have any conformation or screenshots . And delay when opening of the app. It is just time wasting.",1,2024-06-09,Dashen Bank,Google Play
Best app....,5,2024-06-06,Dashen Bank,Google Play
wow amole,4,2024-06-03,Dashen Bank,Google Play
We,1,2024-06-01,Dashen Bank,Google Play
Tye app is mostly good but you should make it be able to save usernames instead of typing every time i want to login,4,2024-05-31,Dashen Bank,Google Play
"It's good enough. But, there is slowing in beginning of the App....",5,2024-05-24,Dashen Bank,Google Play
"Good for safety,take long way though",5,2024-05-22,Dashen Bank,Google Play
Bad app that not helping me the is not login,1,2024-05-18,Dashen Bank,Google Play
Best after removal of screelock password,5,2024-05-13,Dashen Bank,Google Play
"I really don't get how this is the lite version and it is bigger than the og app, ah well it is what it is ig ¯⁠\⁠_😂_⁠/⁠¯",5,2024-05-10,Dashen Bank,Google Play
"Dashen Bank is the gold standard of banking in Ethiopia! The mobile app makes banking convenient and efficient. Plus, the branch services is top-notch, with staff always ready to assist with a smile.",5,2024-05-10,Dashen Bank,Google Play
ማይ,1,2024-05-09,Dashen Bank,Google Play
Doesn't work most of the time,1,2024-05-09,Dashen Bank,Google Play
that is awesome,5,2024-05-01,Dashen Bank,Google Play
"It's so boring.... I don't wanna say this but this app so tough to take action. It's take long time and also it's conditional mostly it's not available, in 1 day it's work for 1 or 2 hour .... this bank so huge but de app it's not enough to define your exellence",1,2024-04-30,Dashen Bank,Google Play
Jafare has fyguhfiwudgg,5,2024-04-25,Dashen Bank,Google Play
it's fine,5,2024-04-20,Dashen Bank,Google Play
This app is very good Nice app people please use this app 😃☺️☺️,5,2024-04-20,Dashen Bank,Google Play
Wow amazing platform 🙏,5,2024-04-17,Dashen Bank,Google Play
"I tried to log in twice and locked me out. I tried to email them, but no one responded 🙃 please respond to our email back",1,2024-04-12,Dashen Bank,Google Play
Why dont update,5,2024-04-06,Dashen Bank,Google Play
This app is so good and its an interesting,3,2024-03-29,Dashen Bank,Google Play
The best easy banking app ever @ Ethiopia,5,2024-03-26,Dashen Bank,Google Play
Amole lite wow its more easy for use and more secured. I really its one step a head,5,2024-03-25,Dashen Bank,Google Play
Excellent and Easy to use.,5,2024-03-25,Dashen Bank,Google Play
it's good app I'm using it right now but after it have installed doesn't work fastly and again goes to update..plc fix the problem..,3,2024-03-23,Dashen Bank,Google Play
It's good app,5,2024-03-22,Dashen Bank,Google Play
Very secured app but after the last update it takes long time to start .pls minimize the start time ppl might have no patience to wait more than 30 seconds just for the app to open ..,5,2024-03-22,Dashen Bank,Google Play
I don't know why I have been stuck with other mobile banking systems when all I needed was amole... I loved it,5,2024-03-22,Dashen Bank,Google Play
Special for me,5,2024-03-21,Dashen Bank,Google Play
Baset app,5,2024-03-20,Dashen Bank,Google Play
it is good App,4,2024-03-19,Dashen Bank,Google Play
Nuuroo usmaan gaamilcom,5,2024-03-18,Dashen Bank,Google Play
Very good app,5,2024-03-17,Dashen Bank,Google Play
Student,5,2024-03-17,Dashen Bank,Google Play
Please apply!cardless cash out system🙏,2,2024-03-17,Dashen Bank,Google Play
it has a lot of options but it is a slowe while opning by biometric,2,2024-03-17,Dashen Bank,Google Play
The last update is not working correctly so i stop using this app betam huwala ker new dashen bank needs to work on its digital app teams,5,2024-03-17,Dashen Bank,Google Play
How to use application,5,2024-03-17,Dashen Bank,Google Play
cooooolllllll,5,2024-03-17,Dashen Bank,Google Play
I prefered you b/cs your service charge is very fair.,5,2024-03-16,Dashen Bank,Google Play
Excellent App And Easy To Use Every where.,5,2024-03-16,Dashen Bank,Google Play
